MAJ   , Code Postal , Latitude , Longitude , Eloignement 
CORMOZ   ,01560,46.45,5.233333,2.27
CORVEISSIAT   ,01250,46.233333,5.483333,1.58
COURMANGOUX   ,01370,46.333333,5.366667,1.51
COURTES   ,01560,46.466667,5.1,2.31
CRANS   ,01320,45.966667,5.216667,0.9
CRAS SUR REYSSOUZE ,01340,46.3,5.166667,1.31
CRAZ EN MICHAILLE ,01200,46.033333,5.766667,1.66
CRESSIN ROCHEFORT  ,01350,45.766667,5.766667,1.91
CROTTET   ,01620,46.283333,4.9,1.51
CRUZILLES LES MEPILLAT ,01290,46.216667,4.883333,1.57
CUISIAT   ,01370,46.3,5.383333,1.31
CULOZ   ,01350,45.85,5.783333,1.5
CURCIAT DONGALON  ,01560,46.466667,5.15,2.31
CURTAFOND   ,01310,46.266667,5.083333,1.11
DAGNEUX   ,01120,45.85,5.066667,1.41
DIVONNE LES BAINS ,01220,46.366667,6.133333,2.69
DOMMARTIN   ,01380,46.341667,4.991667,1.56
DOMPIERRE SUR VEYLE ,01240,46.066667,5.2,1.13
DOMPIERRE SUR CHALARONNE ,01400,46.133333,4.9,1.53
DOMSURE   ,01270,46.416667,5.3,2.01
DORTAN   ,01590,46.316667,5.666667,1.41
DOUVRES   ,01500,45.983333,5.366667,1.21
DROM   ,01250,46.216667,5.366667,0.8
DRUILLAT   ,01160,46.066667,5.316667,0.1
ECHENEVEX   ,01170,46.316667,6.033333,2.35
ETREZ   ,01340,46.333333,5.183333,1.51
EVOSGES   ,01230,45.958333,5.5,-1
FARAMANS   ,01800,45.9,5.116667,1.11
FAREINS   ,01480,46.016667,4.766667,1.97
FARGES   ,01550,46.166667,5.916667,1.95
FEILLENS   ,01570,46.333333,4.883333,1.57
FERNEY VOLTAIRE  ,01210,46.25,6.116667,2.63
FITIGNIEU   ,01260,45.933333,5.666667,1.1
FLAXIEU   ,01350,45.816667,5.733333,1.61
FOISSIAT   ,01340,46.366667,5.183333,1.71
AMAREINS FRANCHELEINS CES ,01090,46.066667,4.8,1.85
FRANS   ,01480,45.983333,4.783333,1.91
GARNERANS   ,01140,46.2,4.833333,1.74
GENOUILLEUX   ,01090,46.116667,4.783333,1.91
GEOVREISSIAT   ,01460,46.2,5.566667,0.76
GEOVREISSET   ,01100,46.25,5.6,1.24
GERMAGNAT   ,01250,46.316667,5.45,2.05
GEX   ,01170,46.333333,6.066667,2.46
GIRON   ,01130,46.233333,5.766667,1.46
GORREVOD   ,01190,46.416667,4.95,2.01
LE GRAND ABERGEMENT ,01260,46.033333,5.666667,1.84
GRAND CORENT  ,01250,46.2,5.433333,0.72
GRANGES   ,01580,46.233333,5.5,1.13
GRIEGES   ,01290,46.25,4.85,1.68
GRILLY   ,01220,46.333333,6.116667,2.63
GROISSIAT   ,01810,46.216667,5.6,0.87
GROSLEE   ,01680,45.716667,5.566667,2.21
GUEREINS   ,01090,46.1,4.783333,1.91
HAUTECOURT ROMANECHE  ,01250,46.158333,5.416667,-1
HAUTEVILLE LOMPNES  ,01110,45.966667,5.6,0.87
HOSTIAS   ,01110,45.9,5.533333,1.11
HOTONNES   ,01260,46,5.683333,1.16
ILLIAT   ,01140,46.183333,4.883333,1.57
INJOUX GENISSIAT  ,01200,46.05,5.783333,1.5
INNIMOND   ,01680,45.783333,5.566667,1.81
IZENAVE   ,01430,46.033333,5.533333,1.62
IZERNORE   ,01580,46.216667,5.55,0.8
IZIEU   ,01300,45.65,5.633333,2.61
JASSANS RIOTTIER  ,01480,45.983333,4.75,2.03
JASSERON   ,01250,46.216667,5.333333,0.84
JAYAT   ,01340,46.366667,5.116667,1.71
JOURNANS   ,01250,46.15,5.333333,1.08
JOYEUX   ,01800,45.95,5.1,1.55
JUJURIEUX   ,01640,46.033333,5.416667,0.72
LABALME   ,01450,46.1,5.483333,0.78
LAGNIEU   ,01150,45.9,5.35,1.11
LAIZ   ,01290,46.25,4.883333,1.57
LALLEYRIAT   ,01130,46.15,5.716667,1.27
LANCRANS   ,01200,46.133333,5.833333,1.67
LANTENAY   ,01430,46.05,5.533333,1.22
LAPEYROUSE   ,01330,45.983333,4.966667,1.29
LAVOURS   ,01350,45.8,5.766667,1.71
LEAZ   ,01200,46.1,5.883333,1.84
LELEX   ,01410,46.3,5.95,2.06
LENT   ,01240,46.116667,5.2,1.02
LESCHEROUX   ,01560,46.4,5.15,1.91
LEYMENT   ,01150,45.916667,5.3,1
LEYSSARD   ,01450,46.166667,5.466667,1.08
LHUIS   ,01680,45.75,5.533333,2.01
LILIGNOD   ,01260,45.95,5.683333,1.16
LOCHIEU   ,01260,45.933333,5.716667,1.27
LOMPNAS   ,01680,45.8,5.516667,1.71
LOMPNIEU   ,01260,45.966667,5.65,1.04
LOYES   ,01800,45.933333,5.233333,1.19
LOYETTES   ,01360,45.766667,5.2,2.27
LURCY   ,01090,46.066667,4.766667,1.97
LUTHEZIEU   ,01260,45.9,5.666667,1.19
MAGNIEU   ,01300,45.783333,5.716667,1.81
MAILLAT   ,01430,46.133333,5.55,0.83
MALAFRETAZ   ,01340,46.316667,5.15,1.41
MANTENAY MONTLIN  ,01560,46.416667,5.083333,2.01
MANZIAT   ,01570,46.35,4.9,1.61
MARBOZ   ,01851,46.333333,5.25,1.51
MARCHAMP   ,01680,45.783333,5.55,1.81
MARIGNIEU   ,01300,45.8,5.716667,1.71
MARLIEUX   ,01240,46.066667,5.066667,0.97
MARSONNAS   ,01340,46.333333,5.066667,1.51
MARTIGNAT   ,01810,46.216667,5.6,0.87
MASSIEUX   ,01600,45.916667,4.833333,1.74
MASSIGNIEU DE RIVES ,01300,45.75,5.766667,2.01
MATAFELON GRANGES  ,01580,46.266667,5.566667,1.26
MEILLONNAS   ,01370,46.25,5.35,1.08
MERIGNAT   ,01450,46.066667,5.433333,1.31
MEXIMIEUX   ,01800,45.9,5.2,1.11
BOHAS MEYRIAT RIGNAT ,01250,46.133333,5.4,1.01
MEZERIAT   ,01660,46.233333,5.033333,1.23
MIJOUX   ,01170,46.366667,6,2.23
MIONNAY   ,01390,45.9,4.933333,1.4
MISERIEUX   ,01600,45.983333,4.816667,1.8
MOENS   ,01280,46.266667,6.1,2.58
MOGNENEINS   ,01140,46.133333,4.816667,1.8
MOLLON   ,01800,45.95,5.25,1.59
MONTAGNAT   ,01250,46.166667,5.283333,1.62
MONTAGNIEU   ,01470,45.8,5.466667,1.71
MONTANGES   ,01200,46.166667,5.8,1.55
MONTCEAUX   ,01090,46.1,4.8,1.85
MONTCET   ,01310,46.2,5.116667,0.78
LE MONTELLIER  ,01800,45.933333,5.066667,1.96
MONTHIEUX   ,01390,45.95,4.933333,1.4
MONTLUEL   ,01120,45.85,5.05,1.41
MONTMERLE SUR SAONE ,01090,46.083333,4.766667,1.97
MONTRACOL   ,01310,46.183333,5.116667,0.99
MONTREVEL EN BRESSE ,01340,46.333333,5.133333,1.51
MURS ET GELIGNIEUX ,01300,45.633333,5.666667,2.71
NANTUA   ,01460,46.15,5.616667,1.6
NAPT   ,01580,46.2,5.5,1.49
NATTAGES   ,01300,45.733333,5.766667,2.11
NEUVILLE LES DAMES ,01400,46.166667,5,1.17
NEUVILLE SUR AIN ,01160,46.083333,5.366667,1.28
LES NEYROLLES  ,01130,46.133333,5.633333,2
NIEVROZ   ,01120,45.833333,5.066667,1.51
NIVOLLET MONTGRIFFON  ,01230,45.983333,5.433333,1.42
OCHIAZ   ,01200,46.116667,5.783333,1.5
ONCIEU   ,01230,45.95,5.466667,0.8
ORDONNAZ   ,01510,45.833333,5.533333,1.89
ORNEX   ,01210,46.283333,6.1,2.58
OUTRIAZ   ,01430,46.066667,5.55,0.83
OYONNAX   ,01100,46.25,5.666667,1.1
OZAN   ,01190,46.383333,4.916667,1.81
PARCIEUX   ,01600,45.916667,4.816667,1.8
PARVES   ,01300,45.75,5.75,2.01
PASSIN   ,01260,45.933333,5.7,1.21
PERON   ,01630,46.2,5.933333,2.01
PERONNAS   ,01960,46.183333,5.2,0.6
PEROUGES   ,01800,45.9,5.183333,1.11
PERREX   ,01540,46.233333,4.983333,1.23
LE PETIT ABERGEMENT ,01260,46.033333,5.65,1.93
PEYRIAT   ,01430,46.15,5.516667,1.35
PEYZIEUX SUR SAONE ,01140,46.116667,4.816667,1.8
PIRAJOUX   ,01270,46.383333,5.3,1.81
PIZAY   ,01120,45.883333,5.083333,1.21
PLAGNE   ,01130,46.183333,5.733333,1.33
LE PLANTAY  ,01330,46.016667,5.083333,1.35
LE POIZAT  ,01130,46.15,5.7,1.21
