MAJ   , Code Postal , Latitude , Longitude , Eloignement 
GOUPILLIERES   ,14210,49.033333,-0.483333,1.56
GOUSTRANVILLE   ,14430,49.216667,-0.1,1.48
GOUVIX   ,14680,49.033333,-0.3,0.85
GRAINVILLE LANGANNERIE  ,14190,49.016667,-0.266667,0.8
GRAINVILLE SUR ODON ,14210,49.133333,-0.533333,1
GRANDCHAMP LE CHATEAU ,14140,49.083333,0.066667,1.52
GRANDMESNIL   ,14170,48.916667,0.033333,1.58
GRANDOUET   ,14340,49.166667,0.066667,1.23
GRANGUES   ,14160,49.266667,-0.05,1.64
LA GRAVERIE  ,14350,48.9,-0.883333,1.71
GRAYE SUR MER ,14470,49.333333,-0.466667,1.67
GRENTHEVILLE   ,14540,49.15,-0.283333,1.13
GRIMBOSQ   ,14220,49.05,-0.45,1.01
GRISY   ,14170,49,-0.066667,0.93
GUERON   ,14400,49.25,-0.716667,1.1
LE HAM  ,14430,49.183333,-0.1,1.67
HAMARS   ,14220,49,-0.55,1.88
HERMANVILLE SUR MER ,14880,49.283333,-0.316667,1.28
HERMIVAL LES VAUX ,14100,49.166667,0.283333,1.87
HEROUVILLE SAINT CLAIR ,14200,49.2,-0.316667,0.63
HEROUVILLETTE   ,14850,49.216667,-0.233333,1
HEURTEVENT   ,14140,48.983333,0.133333,1.42
HIEVILLE   ,14170,49.016667,-0.016667,0.98
LA HOGUETTE  ,14700,48.883333,-0.166667,1.84
HONFLEUR   ,14600,49.416667,0.233333,2.32
L HOTELLERIE  ,14100,49.133333,0.4,2.22
HOTOT EN AUGE ,14430,49.166667,-0.05,1.22
HOTTOT LES BAGUES ,14250,49.15,-0.65,1.02
LA HOUBLONNIERE  ,14340,49.133333,0.1,1.33
HOULGATE   ,14510,49.3,-0.066667,1.41
HUBERT FOLIE  ,14540,49.133333,-0.316667,1.19
HUPPAIN   ,14520,49.35,-0.766667,1.8
IFS   ,14123,49.133333,-0.35,1
ISIGNY SUR MER ,14230,49.316667,-1.1,2.24
LES ISLES BARDEL ,14690,48.85,-0.333333,2.1
JANVILLE   ,14670,49.166667,-0.15,0.58
JORT   ,14170,48.966667,-0.083333,1.19
JUAYE MONDAYE  ,14250,49.2,-0.683333,1.42
JURQUES   ,14260,49.016667,-0.75,1.2
JUVIGNY SUR SEULLES ,14250,49.166667,-0.616667,0.8
LAIZE LA VILLE ,14320,49.083333,-0.383333,0.73
LA LANDE SUR DROME,14240,49.066667,-0.866667,1.63
LA LANDE VAUMONT ,14500,48.783333,-0.866667,2.62
LANDELLES ET COUPIGNY ,14380,48.883333,-1,1.94
LANDES SUR AJON ,14310,49.083333,-0.583333,1.34
LANGRUNE SUR MER ,14830,49.316667,-0.366667,1.54
LANTHEUIL   ,14480,49.266667,-0.516667,1.15
LASSON   ,14740,49.233333,-0.466667,1.48
LASSY   ,14770,48.916667,-0.666667,1.58
LEAUPARTIE   ,14340,49.183333,0.05,1.18
LECAUDE   ,14140,49.1,0.083333,1.51
LEFFARD   ,14700,48.916667,-0.3,1.58
LENAULT   ,14770,48.933333,-0.633333,1.45
LESSARD ET LE CHENE,14140,49.066667,0.116667,1.37
LIEURY   ,14170,48.983333,-0.016667,1.06
LINGEVRES   ,14250,49.183333,-0.666667,0.99
LION SUR MER ,14780,49.3,-0.316667,1.41
LISIEUX   ,14100,49.15,0.233333,1.72
LISON   ,14330,49.25,-1.05,2.09
LISORES   ,14140,48.966667,0.216667,1.67
LITTEAU   ,14490,49.15,-0.9,1.86
LE MOLAY LITTRY ,14330,49.25,-0.883333,1.59
LIVAROT   ,14140,49.016667,0.15,1.47
LIVRY   ,14240,49.1,-0.766667,1.25
LE LOCHEUR  ,14210,49.1,-0.55,0.99
LES LOGES SAULCES ,14700,48.866667,-0.3,1.97
LONGRAYE   ,14250,49.15,-0.7,1.94
LONGUES SUR MER ,14400,49.333333,-0.7,1.67
LONGVILLERS   ,14310,49.05,-0.633333,0.85
LOUCELLES   ,14250,49.216667,-0.583333,1.2
LOUVAGNY   ,14170,48.95,-0.05,1.32
LOUVIERES   ,14710,49.366667,-0.916667,-1
LOUVIGNY   ,14111,49.166667,-0.383333,0.37
LUC SUR MER ,14530,49.3,-0.35,1.41
MAGNY EN BESSIN ,14400,49.3,-0.666667,1.41
MAGNY LA CAMPAGNE ,14270,49.05,-0.1,0.91
MAGNY LE FREULE ,14270,49.1,-0.066667,0.83
MAISONCELLES LA JOURDAN ,14500,48.8,-0.85,2.49
MAISONCELLES PELVEY  ,14310,49.05,-0.666667,0.95
MAISONCELLES SUR AJON ,14210,49.05,-0.533333,1.26
MAISONS   ,14400,49.316667,-0.75,1.54
MAISY   ,14450,49.383333,-1.05,2.09
MAIZET   ,14210,49.083333,-0.466667,0.95
MAIZIERES   ,14190,49.016667,-0.15,1.6
MALLOUE   ,14350,48.933333,-0.966667,1.84
MALTOT   ,14930,49.133333,-0.416667,0.59
MANDEVILLE EN BESSIN ,14710,49.3,-0.883333,1.59
MANERBE   ,14340,49.183333,0.183333,2.11
MANNEVILLE LA PIPARD ,14130,49.266667,0.216667,1.67
LE MANOIR  ,14400,49.283333,-0.6,1.75
MANVIEUX   ,14117,49.333333,-0.65,1.67
LE MARAIS LA CHAPELLE,14620,48.883333,-0.016667,1.84
MAROLLES   ,14100,49.133333,0.366667,2.12
MARTAINVILLE   ,14220,48.95,-0.333333,1.68
MARTIGNY SUR L ANTE,14700,48.9,-0.283333,1.71
MARTRAGNY   ,14740,49.25,-0.6,1.65
MATHIEU   ,14920,49.25,-0.366667,1.02
MAY SUR ORNE ,14320,49.1,-0.366667,0.62
MERY CORBON  ,14370,49.133333,-0.083333,1.46
MESLAY   ,14220,48.966667,-0.4,1.19
LE MESNIL AU GRAIN,14260,49.05,-0.6,1.02
LE MESNIL AUZOUF ,14260,48.983333,-0.75,1.21
LE MESNIL BACLEY ,14140,49,0.15,1.47
LE MESNIL BENOIST ,14380,48.866667,-0.983333,1.97
LE MESNIL CAUSSOIS ,14380,48.85,-1.016667,2.1
MESNIL CLINCHAMPS  ,14380,48.85,-0.983333,2.1
LE MESNIL DURAND ,14140,49.05,0.133333,1.42
LE MESNIL EUDES ,14100,49.1,0.183333,1.57
LE MESNIL GERMAIN ,14140,49.05,0.183333,1.57
LE MESNIL GUILLAUME ,14100,49.1,0.3,1.92
LE MESNIL MAUGER ,14270,49.083333,0.016667,1.08
LE MESNIL PATRY ,14740,49.2,-0.55,0.72
LE MESNIL ROBERT ,14380,48.883333,-0.95,1.84
LE MESNIL SIMON ,14140,49.083333,0.1,1.33
LE MESNIL SUR BLANGY,14130,49.266667,0.25,1.77
LE MESNIL VILLEMENT ,14690,48.85,-0.366667,2.1
MEULLES   ,14290,48.983333,0.333333,2.02
MEUVAINES   ,14960,49.333333,-0.566667,1.67
MISSY   ,14210,49.116667,-0.55,1.08
MITTOIS   ,14170,49.016667,0.033333,1.13
LES MONCEAUX  ,14100,49.116667,0.116667,2.15
MONCEAUX EN BESSIN ,14400,49.25,-0.683333,1.02
MONDEVILLE   ,14120,49.166667,-0.316667,0.37
MONDRAINVILLE   ,14210,49.133333,-0.516667,0.82
MONFREVILLE   ,14230,49.316667,-1.033333,2.04
MONTAMY   ,14260,48.983333,-0.766667,1.43
MONT BERTRAND  ,14350,48.966667,-0.916667,1.69
MONTCHAMP   ,14350,48.916667,-0.766667,1.58
MONTCHAUVET   ,14350,48.95,-0.733333,1.87
MONTEILLE   ,14270,49.116667,0.05,1.74
MONTFIQUET   ,14490,49.166667,-0.9,1.74
MONTPINCON   ,14170,48.95,0.083333,1.74
MONTREUIL EN AUGE ,14340,49.166667,0.05,1.18
MONTS EN BESSIN ,14310,49.116667,-0.6,1.26
MONTVIETTE   ,14140,49,0.1,1.33
MORTEAUX COULIBOEUF  ,14620,48.933333,-0.066667,1.45
MOSLES   ,14400,49.316667,-0.816667,1.74
MOUEN   ,14790,49.15,-0.483333,1.5
MOULT   ,14370,49.116667,-0.166667,0.53
LES MOUTIERS EN AUGE,14620,48.9,-0.016667,1.71
LES MOUTIERS HUBERT ,14140,48.966667,0.266667,1.82
MOYAUX   ,14590,49.2,0.35,2.07
MUTRECY   ,14220,49.066667,-0.416667,1.26
NEUILLY LA FORET ,14230,49.266667,-1.1,2.24
NEUILLY LE MALHERBE ,14210,49.1,-0.533333,0.62
NONANT   ,14400,49.25,-0.633333,1.3
NOROLLES   ,14100,49.2,0.25,1.77
NORON L ABBAYE ,14700,48.9,-0.25,1.71
NORON LA POTERIE ,14490,49.216667,-0.766667,1.25
NORREY EN AUGE ,14620,48.916667,-0.016667,1.58
NORREY EN BESSIN ,14740,49.2,-0.516667,0.68
NOTRE DAME DE COURSON,14140,48.983333,0.266667,1.82
NOTRE DAME DE FRESNAY,14170,48.966667,0.05,1.21
NOTRE DAME DE LIVAYE,14340,49.116667,0.05,1.18
NOTRE DAME D ESTREES,14340,49.15,0.016667,1.08
NOYERS BOCAGE  ,14210,49.133333,-0.566667,1.58
OLENDON   ,14170,48.966667,-0.166667,2
ONDEFONTAINE   ,14260,49,-0.683333,1
ORBOIS   ,14240,49.133333,-0.683333,1.39
OSMANVILLE   ,14230,49.333333,-1.083333,2.19
LES OUBEAUX  ,14230,49.283333,-1.066667,2.14
OUEZY   ,14270,49.083333,-0.1,0.82
OUFFIERES   ,14220,49.016667,-0.483333,0.93
OUILLY DU HOULEY ,14590,49.166667,0.333333,2.02
OUILLY LE TESSON ,14190,48.983333,-0.216667,1.06
OUILLY LE VICOMTE ,14100,49.183333,0.216667,1.67
OUISTREHAM   ,14150,49.283333,-0.25,1.28
OUVILLE LA BIEN TOURNEE,14170,49.05,-0.016667,1.02
PARFOURU L ECLIN ,14240,49.133333,-0.75,1.2
PARFOURU SUR ODON ,14310,49.083333,-0.6,0.96
PENNEDEPIE   ,14600,49.416667,0.183333,2.32
PERCY EN AUGE ,14270,49.05,-0.066667,0.83
PERIERS EN AUGE ,14160,49.266667,-0.1,1.15
PERIERS SUR LE DAN,14112,49.266667,-0.35,1.15
PERIGNY   ,14770,48.916667,-0.6,1.58
PERRIERES   ,14170,48.966667,-0.133333,1.51
PERTHEVILLE NERS  ,14700,48.866667,-0.116667,1.97
PETIVILLE   ,14390,49.25,-0.166667,1.02
PIERREFITTE EN CINGLAIS ,14690,48.9,-0.383333,1.71
PIERRES   ,14410,48.866667,-0.733333,1.97
LE PIN  ,14590,49.216667,0.333333,2.02
PLACY   ,14220,48.983333,-0.416667,1.06
PLANQUERY   ,14490,49.15,-0.833333,1.45
PLEINES OEUVRES  ,14380,48.933333,-1,1.94
LE PLESSIS GRIMOULT ,14770,48.966667,-0.616667,1.19
PLUMETOT   ,14440,49.283333,-0.35,1.28
LA POMMERAYE  ,14690,48.9,-0.416667,1.71
PONT BELLANGER  ,14380,48.933333,-0.966667,1.84
PONTECOULANT   ,14110,48.883333,-0.583333,1.84
PONT L EVEQUE ,14130,49.3,0.183333,1.57
PORT EN BESSIN HUPPAIN,14520,49.35,-0.75,1.8
POTIGNY   ,14420,48.966667,-0.233333,1.19
POUSSY LA CAMPAGNE ,14540,49.083333,-0.216667,1.99
PREAUX BOCAGE  ,14210,49.05,-0.5,1.11
LE PRE D AUGE,14340,49.15,0.15,1.5
PRESLES   ,14410,48.883333,-0.783333,1.84
PRETREVILLE   ,14140,49.083333,0.25,1.77
PROUSSY   ,14110,48.883333,-0.533333,1.84
PUTOT EN AUGE ,14430,49.216667,-0.066667,0.85
PUTOT EN BESSIN ,14740,49.216667,-0.533333,0.76
QUETTEVILLE   ,14130,49.333333,0.3,1.92
RANCHY   ,14400,49.25,-0.75,1.2
RANVILLE   ,14860,49.233333,-0.25,1.13
RAPILLY   ,14690,48.866667,-0.333333,1.97
LE RECULEY  ,14350,48.916667,-0.85,1.58
REPENTIGNY   ,14340,49.2,0.05,1.18
REUX   ,14130,49.283333,0.15,1.47
REVIERS   ,14470,49.3,-0.466667,1.41
LA RIVIERE SAINT SAUVEUR,14600,49.416667,0.266667,2.32
ROBEHOMME   ,14860,49.233333,-0.15,1.69
ROCQUANCOURT   ,14540,49.1,-0.316667,1.03
LA ROCQUE  ,14410,48.883333,-0.666667,1.84
ROCQUES   ,14100,49.166667,0.25,1.77
LA ROQUE BAIGNARD ,14340,49.183333,0.1,1.33
ROSEL   ,14740,49.233333,-0.45,1.86
ROTS   ,14980,49.216667,-0.466667,0.76
ROUCAMPS   ,14260,48.983333,-0.616667,1.06
ROULLOURS   ,14500,48.833333,-0.833333,2.23
ROUVRES   ,14190,49,-0.166667,1.33
RUBERCY   ,14710,49.283333,-0.883333,1.59
RUCQUEVILLE   ,14480,49.25,-0.583333,1.69
RULLY   ,14410,48.833333,-0.716667,2.23
RUMESNIL   ,14340,49.183333,0.033333,1.13
RUSSY   ,14710,49.333333,-0.816667,1.85
RYES   ,14400,49.316667,-0.616667,1.61
SAINT AGNAN LE MALHERBE,14260,49.05,-0.583333,1.23
SAINT AIGNAN DE CRAMESNIL,14540,49.083333,-0.266667,0.87
SAINT ANDRE D HEBERTOT,14130,49.316667,0.283333,1.87
SAINT ANDRE SUR ORNE,14320,49.116667,-0.383333,0.73
SAINT ARNOULT  ,14800,49.333333,0.083333,1.67
SAINT AUBIN D ARQUENAY,14970,49.266667,-0.283333,1.15
SAINT AUBIN DES BOIS,14380,48.833333,-1.133333,2.34
SAINT AUBIN SUR ALGOT,14340,49.133333,0.083333,1.28
SAINT AUBIN SUR MER,14750,49.333333,-0.4,1.67
SAINT CHARLES DE PERCY,14350,48.933333,-0.783333,1.45
SAINT COME DE FRESNE,14960,49.333333,-0.6,1.67
SAINT CONTEST  ,14280,49.216667,-0.4,0.96
SAINT CRESPIN  ,14270,49.083333,0.05,1.62
SAINTE CROIX GRAND TONNE,14740,49.233333,-0.55,0.89
SAINTE CROIX SUR MER,14480,49.316667,-0.516667,1.54
SAINT CYR DU RONCERAY,14290,49.05,0.3,1.92
SAINT DENIS DE MAILLOC,14100,49.1,0.316667,1.97
SAINT DENIS DE MERE,14110,48.866667,-0.516667,1.97
SAINT DENIS MAISONCELLES ,14350,48.983333,-0.85,1.5
SAINT DESIR  ,14100,49.15,0.216667,1.67
SAINT ETIENNE LA THILLAYE,14950,49.283333,0.116667,1.37
SAINTE FOY DE MONTGOMMERY,14140,48.95,0.183333,1.57
SAINT GATIEN DES BOIS,14130,49.35,0.183333,1.8
SAINT GEORGES D AUNAY,14260,49.033333,-0.683333,1
SAINT GEORGES EN AUGE,14140,48.983333,0.066667,1.32
SAINT GERMAIN D ECTOT,14240,49.116667,-0.716667,1.1
SAINT GERMAIN DE LIVET,14100,49.083333,0.216667,1.67
SAINT GERMAIN DU CRIOULT,14110,48.85,-0.6,2.1
SAINT GERMAIN DU PERT,14230,49.333333,-1.033333,2.04
SAINT GERMAIN LA BLANCHE,14280,49.183333,-0.4,0.96
SAINT GERMAIN LANGOT ,14700,48.916667,-0.316667,1.58
SAINT GERMAIN LE VASSON,14190,49,-0.3,1.47
SAINTE HONORINE DE DUCY,14240,49.15,-0.783333,1.3
SAINTE HONORINE DES PERTES,14520,49.35,-0.8,1.8
SAINTE HONORINE DU FAY,14210,49.083333,-0.5,0.46
SAINT HYMER  ,14130,49.25,0.166667,1.52
SAINT JEAN DE LIVET,14100,49.083333,0.233333,1.72
SAINT JEAN DES ESSARTIERS,14350,49.05,-0.833333,1.46
SAINT JEAN LE BLANC,14770,48.933333,-0.65,1.45
SAINT JOUIN  ,14430,49.216667,-0.016667,0.98
SAINT JULIEN DE MAILLOC,14290,49.083333,0.333333,2.02
SAINT JULIEN LE FAUCON,14140,49.066667,0.083333,1.28
SAINT JULIEN SUR CALONNE,14130,49.283333,0.233333,1.72
SAINT LAMBERT  ,14570,48.933333,-0.55,1.45
SAINT LAURENT DE CONDEL,14220,49.05,-0.416667,1
SAINT LAURENT DU MONT,14340,49.133333,0.033333,1.13
SAINT LAURENT SUR MER,14710,49.366667,-0.883333,1.93
SAINT LEGER DUBOSQ ,14430,49.233333,-0.033333,0.93
SAINT LOUET SUR SEULLES,14310,49.1,-0.666667,0.95
SAINT LOUP DE FRIBOIS,14340,49.116667,0.016667,1.39
SAINT LOUP HORS ,14400,49.25,-0.716667,1.1
SAINT MANVIEU BOCAGE ,14380,48.833333,-0.983333,2.23
SAINTE MARGUERITE D ELLE,14330,49.216667,-1.016667,1.99
SAINTE MARGUERITE DES LOGES,14140,49.016667,0.2,1.62
SAINTE MARGUERITE DE VIETTE,14140,49.016667,0.083333,1.28
SAINTE MARIE AUX ANGLAIS,14270,49.066667,0.033333,1.35
SAINTE MARIE LAUMONT ,14350,48.916667,-0.9,1.64
SAINTE MARIE OUTRE L,14380,48.933333,-1.016667,1.99
SAINT MARTIN AUX CHARTRAINS,14130,49.316667,0.15,1.54
SAINT MARTIN DE BLAGNY,14710,49.25,-0.95,1.79
SAINT MARTIN DE FONTENAY,14320,49.116667,-0.366667,0.95
SAINT MARTIN DE FRESNAY,14170,48.983333,0.033333,1.13
SAINT MARTIN DE LA,14100,49.116667,0.216667,1.67
SAINT MARTIN DE MAILLOC,14100,49.1,0.316667,1.97
SAINT MARTIN DE MIEUX,14700,48.866667,-0.233333,1.97
SAINT MARTIN DE SALLEN,14220,48.966667,-0.516667,1.39
SAINT MARTIN DES BESACES,14350,49.016667,-0.85,1.5
SAINT MARTIN DES ENTREES,14400,49.266667,-0.666667,1.15
SAINT MARTIN DE TALLEVENDE,14500,48.833333,-0.933333,2.23
SAINT MARTIN DON ,14350,48.933333,-0.95,1.79
SAINT MARTIN DU MESNIL,14140,49.033333,0.133333,1.42
SAINT MICHEL DE LIVET,14140,49.016667,0.133333,1.42
SAINT OMER  ,14220,48.916667,-0.433333,1.58
SAINT OUEN DES BESACES,14350,49.016667,-0.85,1.5
SAINT OUEN DU MESNIL,14670,49.166667,-0.116667,1.4
SAINT OUEN LE HOUX,14140,48.983333,0.183333,1.57
SAINT OUEN LE PIN,14340,49.15,0.116667,1.37
SAINT PAIR  ,14670,49.166667,-0.183333,1.26
SAINT PAIR DU MONT,14340,49.133333,0.033333,1.13
SAINT PAUL DE COURTONNE,14290,49.083333,0.383333,2.17
SAINT PAUL DU VERNAY,14490,49.183333,-0.766667,1.25
SAINT PIERRE AZIF ,14950,49.3,0.05,1.41
SAINT PIERRE CANIVET ,14700,48.933333,-0.216667,1.45
SAINT PIERRE DE MAILLOC,14290,49.066667,0.316667,1.97
SAINT PIERRE DES IFS,14100,49.116667,0.166667,1.52
SAINT PIERRE DU BU,14700,48.866667,-0.216667,1.97
SAINT PIERRE DU FRESNE,14260,49.033333,-0.75,1.2
SAINT PIERRE DU JONQUET,14670,49.166667,-0.116667,1.4
SAINT PIERRE DU MONT,14450,49.4,-0.983333,2.19
SAINT PIERRE LA VIEILLE,14770,48.916667,-0.566667,1.58
SAINT PIERRE SUR DIVES,14170,49.016667,-0.033333,0.93
SAINT PIERRE TARENTAINE ,14350,48.966667,-0.8,1.35
SAINT REMY  ,14570,48.933333,-0.5,1.45
SAINT SAMSON  ,14670,49.183333,-0.15,0.58
SAINT SEVER CALVADOS ,14380,48.833333,-1.033333,2.23
SAINT SYLVAIN  ,14190,49.05,-0.216667,0.65
SAINT VAAST SUR SEULLES,14250,49.15,-0.633333,0.85
SAINT VIGOR DES MEZERETS,14770,48.916667,-0.633333,1.58
SAINT VIGOR LE GRAND,14400,49.283333,-0.683333,1.28
SALLEN   ,14240,49.116667,-0.833333,1.45
SALLENELLES   ,14121,49.266667,-0.233333,1.15
SANNERVILLE   ,14940,49.183333,-0.216667,1
SAON   ,14330,49.266667,-0.85,1.5
SAONNET   ,14330,49.266667,-0.883333,1.59
SASSY   ,14170,48.983333,-0.133333,1.5
SECQUEVILLE EN BESSIN ,14740,49.233333,-0.516667,0.89
SEPT FRERES  ,14380,48.866667,-1.033333,2.04
SEPT VENTS  ,14240,49.083333,-0.816667,1.4
SERMENTOT   ,14240,49.133333,-0.666667,1.64
SOIGNOLLES   ,14190,49.033333,-0.216667,0.67
SOLIERS   ,14540,49.133333,-0.3,0.84
SOMMERVIEU   ,14400,49.3,-0.65,1.41
SOULANGY   ,14700,48.95,-0.216667,1.32
SOUMONT SAINT QUENTIN ,14420,48.983333,-0.233333,1.11
SUBLES   ,14400,49.233333,-0.75,1.2
SULLY   ,14400,49.3,-0.733333,1.41
SURRAIN   ,14710,49.333333,-0.866667,1.67
   ,14130,49.3,0.216667,1.67
TAILLEVILLE   ,14440,49.3,-0.416667,1.41
TESSEL   ,14250,49.15,-0.583333,1.25
THAON   ,14610,49.266667,-0.45,1.21
LE THEIL EN AUGE,14130,49.35,0.25,1.8
THIEVILLE   ,14170,49.033333,-0.016667,0.98
THURY HARCOURT  ,14220,48.983333,-0.483333,1.06
TIERCEVILLE   ,14480,49.283333,-0.533333,1.28
TILLY LA CAMPAGNE ,14540,49.116667,-0.3,0.55
TILLY SUR SEULLES ,14250,49.183333,-0.616667,0.8
TORDOUET   ,14290,49.05,0.333333,2.02
LE TORQUESNE  ,14130,49.216667,0.166667,1.52
TORTISAMBERT   ,14140,48.966667,0.116667,1.37
TOUFFREVILLE   ,14940,49.183333,-0.216667,1
TOUQUES   ,14800,49.333333,0.1,1.67
TOUR EN BESSIN ,14400,49.3,-0.783333,1.41
TOURGEVILLE   ,14800,49.316667,0.066667,1.57
TOURNAY SUR ODON ,14310,49.1,-0.583333,1.4
TOURNEBU   ,14220,48.966667,-0.333333,1.6
LE TOURNEUR  ,14350,48.966667,-0.816667,1.4
TOURNIERES   ,14330,49.233333,-0.933333,1.74
TOURVILLE EN AUGE ,14130,49.316667,0.2,1.62
TOURVILLE SUR ODON ,14210,49.133333,-0.5,0.8
TRACY BOCAGE  ,14310,49.066667,-0.683333,1
TRACY SUR MER ,14117,49.333333,-0.65,1.67
TREPREL   ,14690,48.9,-0.35,1.71
TREVIERES   ,14710,49.316667,-0.9,1.64
TROARN   ,14670,49.183333,-0.183333,1.14
TROIS MONTS  ,14210,49.05,-0.483333,1.21
LE TRONQUAY  ,14490,49.233333,-0.816667,1.4
TROUVILLE SUR MER ,14360,49.366667,0.083333,1.93
TRUNGY   ,14490,49.2,-0.733333,1.52
TRUTTEMER LE GRAND ,14500,48.783333,-0.816667,2.62
TRUTTEMER LE PETIT ,14500,48.766667,-0.816667,2.75
URVILLE   ,14190,49.033333,-0.3,1.43
USSY   ,14420,48.95,-0.283333,1.32
LA VACQUERIE  ,14240,49.1,-0.85,1.5
VALSEME   ,14340,49.233333,0.1,1.36
VARAVILLE   ,14390,49.25,-0.15,1.02
VASOUY   ,14600,49.416667,0.183333,2.32
VASSY   ,14410,48.85,-0.666667,2.1
VAUBADON   ,14490,49.2,-0.833333,1.45
VAUCELLES   ,14400,49.283333,-0.733333,1.28
VAUDRY   ,14500,48.833333,-0.85,2.23
VAUX SUR AURE ,14400,49.3,-0.7,1.41
VAUX SUR SEULLES ,14400,49.266667,-0.633333,1.24
VENDES   ,14250,49.15,-0.6,0.99
VENDEUVRE   ,14170,48.983333,-0.083333,1.06
VERSAINVILLE   ,14700,48.916667,-0.183333,1.58
VERSON   ,14790,49.15,-0.45,0.75
VER SUR MER ,14114,49.333333,-0.533333,1.67
LA VESPIERE  ,14290,49.016667,0.416667,2.27
LE VEY  ,14570,48.916667,-0.466667,1.58
VICQUES   ,14170,48.95,-0.083333,1.32
VICTOT PONTFOL  ,14430,49.166667,-0.016667,1.11
VIENNE EN BESSIN ,14400,49.283333,-0.6,1.75
VIERVILLE SUR MER ,14710,49.366667,-0.9,1.93
VIESSOIX   ,14410,48.833333,-0.8,2.23
VIEUX   ,14930,49.1,-0.433333,1.34
VIEUX BOURG  ,14130,49.308333,0.25,-1
VIEUX FUME  ,14270,49.05,-0.116667,1.15
VIGNATS   ,14700,48.85,-0.1,2.1
VILLERS BOCAGE  ,14310,49.083333,-0.65,0.9
VILLERS CANIVET  ,14420,48.933333,-0.25,1.45
VILLERVILLE   ,14113,49.4,0.133333,2.19
LA VILLETTE  ,14570,48.916667,-0.55,1.58
VILLIERS LE SEC ,14480,49.283333,-0.566667,1.28
VILLONS LES BUISSONS ,14610,49.233333,-0.4,0.89
VILLY BOCAGE  ,14310,49.1,-0.633333,0.85
VIMONT   ,14370,49.116667,-0.2,1.03
VIRE   ,14500,48.833333,-0.883333,2.23
VOUILLY   ,14230,49.283333,-1,1.94
QUETIEVILLE   ,14270,49.1,-0.033333,0.93
ALLANCHE   ,15160,45.233333,2.933333,1.16
ALLEUZE   ,15100,44.95,3.1,1.66
ANDELAT   ,15100,45.066667,3.066667,1.54
ANGLARDS DE SAINT FLOUR,15100,44.983333,3.166667,1.9
ANGLARDS DE SALERS ,15380,45.216667,2.45,1.17
ANTERRIEUX   ,15110,44.833333,3.066667,1.54
ANTIGNAC   ,15240,45.366667,2.55,1.98
APCHON   ,15400,45.266667,2.7,1.37
ARCHES   ,15200,45.3,2.333333,1.57
ARNAC   ,15150,45.05,2.233333,1.47
ARPAJON SUR CERE ,15130,44.9,2.466667,0.87
AURIAC L EGLISE ,15500,45.266667,3.133333,1.78
AURILLAC   ,15000,44.916667,2.45,0.92
AUZERS   ,15240,45.266667,2.466667,1.37
AYRENS   ,15250,44.983333,2.333333,1.11
BADAILHAC   ,15800,44.916667,2.633333,0.77
BARRIAC LES BOSQUETS ,15700,45.15,2.266667,1.35
BASSIGNAC   ,15240,45.316667,2.416667,1.67
BONNAC   ,15500,45.216667,3.166667,1.9
BOURNONCLES   ,15390,44.933333,3.216667,2.08
BRAGEAC   ,15700,45.216667,2.3,1.23
ALBEPIERRE BREDONS  ,15300,45.1,2.883333,0.88
BREZONS   ,15230,44.966667,2.816667,0.74
CALVINET   ,15340,44.716667,2.366667,1.99
CARLAT   ,15130,44.883333,2.566667,0.97
CASSANIOUZE   ,15340,44.683333,2.383333,2.19
CAYROLS   ,15290,44.833333,2.233333,1.47
CELLES   ,15170,45.116667,2.966667,1.18
CELOUX   ,15500,45.15,3.266667,2.26
CEZENS   ,15230,44.983333,2.866667,1.33
CHALIERS   ,15320,44.95,3.233333,2.14
CHALINARGUES   ,15170,45.15,2.933333,1.44
CHALVIGNAC   ,15200,45.25,2.25,1.97
CHAMPAGNAC   ,15350,45.35,2.4,1.88
CHANTERELLE   ,15190,45.383333,2.833333,2.08
LA CHAPELLE D ALAGNON,15300,45.1,2.9,0.94
CHARMENSAC   ,15500,45.216667,3.083333,1.6
CHASTEL SUR MURAT ,15300,45.116667,2.866667,0.82
CHAUDES AIGUES  ,15110,44.85,3,1.3
CHAUSSENAC   ,15700,45.183333,2.283333,1.29
CHEYLADE   ,15400,45.233333,2.733333,1.19
LE CLAUX  ,15400,45.166667,2.716667,1.65
CLAVIERES   ,15320,45.25,2.433333,1.5
COLLANDRES   ,15400,45.25,2.666667,1.27
COLTINES   ,15170,45.1,2.983333,1.24
COREN   ,15100,45.083333,3.1,1.66
CROS DE MONTVERT ,15150,45.066667,2.15,1.77
CROS DE RONESQUE ,15130,44.866667,2.616667,1.24
CUSSAC   ,15430,44.983333,2.933333,1.06
DEUX VERGES  ,15110,44.8,3.033333,1.48
DIENNE   ,15300,45.166667,2.783333,1.56
DRIGNAC   ,15700,45.166667,2.358333,-1
DRUGEAC   ,15140,45.166667,2.383333,-1
ESCORAILLES   ,15700,45.166667,2.333333,1.11
LE FALGOUX  ,15380,45.15,2.616667,1.46
LE FAU  ,15140,45.1,2.583333,1.86
FAVEROLLES   ,15390,44.933333,3.166667,1.9
FERRIERES SAINT MARY ,15170,45.183333,3.066667,1.54
FONTANGES   ,15140,45.116667,2.516667,0.95
FOURNOULES   ,15600,44.666667,2.283333,2.29
GIOU DE MAMOU ,15130,44.933333,2.516667,0.69
GIRGOLS   ,15310,45.033333,2.416667,0.81
